,순위,곡,가수,링크,앨범
86,87,"Cure( Original Soundtrack from Vivinos 'alien stage',Pt.7)",AKUGETSU 및 Park Byeonghoon,https://music.youtube.com/watch?v=SV9SwKd6J3w&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,
87,88,영원,DK(디셈버),https://music.youtube.com/watch?v=YApzsfazibE&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,영원 (남은 인생 10년 X DK(디셈버))
88,89,멈춰줘,헤이즈,https://music.youtube.com/watch?v=EWperGooT54&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,눈물의 여왕 OST Part.3
89,90,라일락,아이유(IU),https://music.youtube.com/watch?v=04tYkKUPPv4&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,IU 5th Album 'LILAC'
90,91,고장난걸까,10CM,https://music.youtube.com/watch?v=9TiGuWyGlXc&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,눈물의 여왕 OST Part.2
91,92,봄이 좋냐??,10cm,https://music.youtube.com/watch?v=_VEgjS3vsGo&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,3.2
92,93,좋아해요,폴킴(Paul Kim),https://music.youtube.com/watch?v=_mHT-kWRAJw&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,
93,94,Give Love,악동뮤지션,https://music.youtube.com/watch?v=_bWN1LYQHvI&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,PLAY
94,95,"나만, 봄",볼빨간사춘기,https://music.youtube.com/watch?v=bWPxFjZ2GX0&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,사춘기집Ⅰ 꽃기운
95,96,Boat,죠지,https://music.youtube.com/watch?v=vm3T2sdeIOY&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,Boat
96,97,Fallin',홍이삭,https://music.youtube.com/watch?v=D5f0BkBVy7I&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,눈물의 여왕 OST Part.5
97,98,Kissing You,Girls' Generation,https://music.youtube.com/watch?v=RZwxxqmhA7c&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,소녀시대 Girls' Generation
98,99,BIBBIDIBA,Hoshimachi Suisei,https://music.youtube.com/watch?v=xy2EahADtPo&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,BIBBIDIBA
